"","player_name","team","conf","Min_per","ORtg","usg","eFG","ORB_per","DRB_per","AST_per","TO_per","blk_per","stl_per","ftr","yr","ht","new.school","dbpm"
"440","Malik William","Clemson","ACC",5.2,106.3,23.8,38.9,23.2,17.9,8.1,6.7,4.5,0.8,22.2,"Fr","8-Jun","Southern Illinois",-0.509061
"441","Levi Stockard III","Kansas St.","B12",41.3,87.9,14.7,50,5.8,13.4,4,28.9,1.7,2.2,39.4,"Jr","8-Jun","VCU",2.0109
"442","JR Mathis","Navy","Pat",0.7,0,4.4,0,0,0,0,0,0,0,0,"Fr","1-Jun","Wake Forest",-4.21363
"443","Victor Uyaelunmo","USC","P12",13.6,74.2,12.6,47.1,9.8,17.4,1.7,27,5.3,1.5,152.9,"So","11-Jun","Towson",1.42895
"444","Mike Peake","Georgia","SEC",16.5,98.4,13.1,56.9,6.4,17.3,0.8,28.3,2.9,0.5,38.9,"Fr","8-Jun","Austin Peay",0.363766
"445","Jock Perry","Saint Mary's","WCC",8.1,122.1,23.6,58.8,13.3,24.7,11.7,14.2,2,1.1,32.4,"Jr","1-Jul","UC Riverside",1.91256
"446","Jaylen Fornes","UNC Wilmington","CAA",41.8,101.6,20.3,47.3,6.2,9.9,6.7,17.1,0.7,1.1,22.4,"Jr","3-Jun","Nicholls St.",-2.64045
"447","Johnny Juzang","Kentucky","SEC",27.7,96.9,13.7,46.8,4.8,12.7,4.2,18.4,0.6,0.8,15.6,"Fr","6-Jun","UCLA",0.452215
"448","Noel Coleman","San Diego","WCC",16.6,92.8,17.1,48,3.3,5.8,16.1,24,0,2.2,18,"Fr","1-Jun","Hawaii",0.996047
"449","Andrew Garcia","Stony Brook","AE",76.6,101,24.9,50.6,9.7,13.8,14.7,22.5,1.2,3,36.1,"Jr","5-Jun","Georgia",0.892972
"450","Ajani Kennedy","UC Riverside","BW",33.3,104.7,19.3,59,7.2,18.8,8.3,21,0.6,1.2,18.9,"So","8-Jun","Tennessee Martin",-2.41617
"451","Shamiel Stevenson","Pittsburgh","ACC",2.4,93.2,21.6,62.5,0,23.7,8.7,25.1,3.7,5.5,8.3,"So","6-Jun","Nebraska",4.44569
"452","Vin Baker Jr.","Boston College","ACC",6.4,80.4,15.2,31.6,2.7,13.2,9,18.9,1.4,2.9,21.1,"So","7-Jun","Milwaukee",0.525881
"453","Franco Miller Jr.","Mississippi","SEC",10.6,37.2,11.6,13.9,2.6,12.9,7.5,40.2,0,0.4,11.1,"Fr","3-Jun","Florida Gulf Coast",-1.50568
"454","Jermaine Miranda","Hofstra","CAA",2.5,83.5,29.3,57.7,10.7,24.9,7,36.4,0,5.3,0,"Fr","4-Jun","Cal Baptist",2.60183
"455","Preston Parks","Tennessee Martin","OVC",71.5,93,22.3,42.7,1.9,12.7,18.7,22.6,0.1,1.9,26.5,"Jr","2-Jun","Samford",-2.88367
"456","Thomas Allen","Nebraska","B10",60.6,108.1,14.9,51.6,1.3,9.2,12.8,13.6,0.7,2.6,12.7,"So","1-Jun","North Carolina St.",2.17553
